(6, 1)
(30, 2)
(54, 5)
(78, 10)
(14, 3)
(38, 4)
(62, 2)
(86, 7)
(22, 2)
(46, 6)
(70, 1)
(94, 1)
(19, 1)
(43, 6)
(67, 2)
(91, 2)
(3, 1)
(27, 4)
(51, 2)
(75, 2)
(99, 7)
(11, 1)
(35, 6)
(59, 1)
(83, 5)
(18, 2)
(42, 3)
(66, 2)
(90, 2)
(2, 2)
(26, 5)
(50, 2)
(74, 8)
(98, 7)
(10, 7)
(34, 2)
(58, 4)
(82, 1)
(12, 2)
(36, 2)
(60, 1)
(84, 5)
(20, 1)
(44, 2)
(68, 4)
(92, 2)
(4, 3)
(28, 4)
(52, 2)
(76, 4)
(13, 7)
(37, 4)
(61, 6)
(85, 2)
(21, 2)
(45, 6)
(69, 2)
(93, 1)
(5, 6)
(29, 1)
(53, 8)
(77, 8)
(0, 0)
(24, 3)
(48, 5)
(72, 3)
(96, 7)
(8, 2)
(32, 1)
(56, 4)
(80, 1)
(16, 2)
(40, 1)
(64, 2)
(88, 8)
(1, 1)
(25, 1)
(49, 2)
(73, 3)
(97, 3)
(9, 2)
(33, 8)
(57, 2)
(81, 2)
(17, 7)
(41, 1)
(65, 1)
(89, 2)
(7, 8)
(31, 8)
(55, 5)
(79, 9)
(15, 1)
(39, 7)
(63, 7)
(87, 2)
(23, 3)
(47, 1)
(71, 2)
(95, 5)
